When youre mad at your parents and they tell you dinner is ready,positive
I think Im getting so mad about the dress because its an assault on what I believe is objective truth,negative
When youre mad at your parents and they tell you dinner is ready,positive
I have the choice of being constantly active and happy or introspectively passive and sad Or I can go mad by ricocheting in between,negative
Ugh now every time I hear blue and black or white and gold Im gonna think of that dumb dress IM SO MAD,negative
You cant stay mad at someone who makes you smile,negative
when bae tries to be cute with you after he made you mad and youre like,positive
People leave you out in the cold and get mad when you learn to get warm by yourself,negative
Im that girl that gets mad at you doesnt want to talk to you but gets extra mad when you dont even try to talk to me,negative
WHEN SOMEONE ASKED HOW THEYMET IT GOT SO QUIET N TJEN WE ALL GOT SO MAD,negative
Im not perfect Ill annoy you make you mad but put all that asideYoull never find someone who cares and loves you more than me,positive
how do some of ur parents let ur bfgf stay the night like my mom gets mad if i have too many cups in my room wtf,negative
